,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
588,13,219,3,33,8,2,0.0109209995717
589,53,219,3,85,6,1,0.265325993299
590,13,13,219,137,4,1,0.142372995615
591,85,137,5,3,4,2,0.0182499997318
592,137,85,351,8,4,2,1.20659899712
593,33,20,219,13,8,1,0.501100003719
594,13,85,8,219,8,2,0.0384219996631
595,85,53,33,219,8,2,0.711735010147
596,20,33,351,3,10,2,0.248170003295
597,85,13,5,85,2,2,0.00271999998949
598,13,85,20,20,8,1,0.0779239982367
599,85,8,5,13,6,2,0.00254300003871
600,137,137,137,33,4,1,4.40646409988
601,53,85,219,137,10,1,18.4627857208
602,13,13,137,13,6,2,0.0183269996196
603,8,53,137,3,6,1,0.0899560004473
604,53,53,219,85,6,2,0.896570026875
605,33,33,219,53,6,1,0.959218025208
606,219,219,13,53,10,2,1.98016500473
607,13,85,13,20,6,2,0.0100410003215
608,85,13,20,3,10,2,0.0176989994943
609,33,85,13,13,6,2,0.0264999996871
610,219,5,33,85,4,1,0.0899389982224
611,5,53,8,3,2,2,0.000345999986166
612,5,53,219,85,2,2,0.0142069999129
613,33,137,219,20,4,1,1.38007998466
614,33,137,53,53,8,1,1.67292404175
615,137,8,53,219,4,1,0.297618001699
616,13,8,351,53,2,1,0.0201459992677
617,219,53,3,33,6,1,0.152982994914
618,137,33,219,33,8,2,1.43225300312
619,137,20,53,13,4,1,0.194977000356
620,137,53,13,3,4,2,0.0295979995281
621,219,53,53,5,8,1,2.57448410988
622,3,5,5,13,2,1,0.00024900000426
623,53,8,8,53,4,2,0.0028460000176
624,13,8,13,13,6,1,0.00289399991743
625,219,8,13,53,4,2,0.015022999607
626,85,13,3,219,4,2,0.00890500005335
627,33,20,85,219,6,2,0.189055994153
628,53,13,20,20,6,1,0.0350710004568
629,5,20,20,53,4,1,0.00507399998605
630,85,33,219,5,6,1,1.44338798523
631,137,13,33,3,4,1,0.0661540031433
632,85,3,13,8,2,2,0.00042699999176
633,53,33,137,85,8,2,0.552111983299
634,85,85,137,13,10,2,1.77107799053
635,137,85,351,20,10,1,31.725320816
636,20,85,53,5,8,1,0.303167998791
637,13,20,53,8,4,2,0.00455299997702
638,219,3,53,219,2,2,0.0132640004158
639,13,5,53,20,4,2,0.00208000000566
640,85,85,137,13,4,1,1.31625795364
