,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
528,351,20,351,8,10,2,1.93310904503
529,85,33,8,900,8,1,0.894177019596
530,351,562,53,33,2,1,2.98862099648
531,562,20,3,900,10,1,1.84645497799
532,53,3,137,5,2,2,0.0010890000267
533,137,562,562,900,4,2,120.984802246
534,85,351,20,20,2,2,0.0400459989905
535,351,219,900,53,8,2,85.1624526978
536,33,562,1441,13,6,1,43.9001922607
537,351,53,219,3,10,1,15.0106391907
538,85,219,33,3,2,2,0.0286330003291
539,562,351,53,351,6,1,114.120277405
540,85,137,219,13,10,2,2.82761597633
541,20,13,900,900,8,1,6.38747501373
542,137,33,53,562,2,1,0.520892977715
543,562,13,13,20,8,2,0.0542009994388
544,33,85,5,20,10,2,0.0155400000513
545,351,20,219,33,10,1,6.41970396042
546,562,33,53,5,8,1,2.38919401169
547,20,85,85,3,8,2,0.0761089995503
548,562,20,53,33,6,1,1.21278595924
549,33,85,219,13,4,2,0.124761000276
550,53,8,900,1441,2,2,0.645034015179
551,33,85,33,33,4,1,0.100821003318
552,33,20,5,13,2,2,0.000399000011384
553,20,5,13,219,4,1,0.0060279997997
554,33,13,8,900,10,2,0.0570139996707
555,219,33,351,20,10,2,2.64967489243
556,85,53,562,85,10,2,5.45315694809
557,351,8,85,3,6,2,0.0703470036387
558,20,85,8,900,4,2,0.069711998105
559,53,351,13,562,8,2,1.7021869421
560,33,13,900,13,4,2,0.0824669972062
561,33,13,562,3,4,1,0.162575006485
562,219,5,562,137,2,1,0.301504999399
563,5,137,900,351,2,2,0.206872999668
564,137,351,5,219,10,1,4.8550491333
565,85,219,13,33,10,1,1.44078099728
566,53,219,13,1441,4,1,3.21424102783
567,562,5,20,137,4,2,0.0320920012891
568,137,85,900,5,2,2,0.467561006546
569,351,5,351,137,4,2,0.315189987421
570,33,351,33,85,4,1,0.672039985657
571,137,562,351,351,10,2,190.004394531
572,85,8,3,900,6,2,0.0186449997127
573,33,85,1441,562,8,2,25.5373840332
574,219,351,562,53,6,1,121.581642151
575,8,33,219,8,4,2,0.0122130000964
576,33,53,562,13,8,1,2.48136901855
577,20,219,900,562,8,2,23.7732639313
578,219,3,137,13,2,2,0.00374699989334
579,137,13,20,137,6,2,0.0409570001066
580,8,5,53,3,4,2,0.000668000022415
581,8,33,1441,33,6,1,0.584792017937
582,33,53,1441,53,8,2,2.6160299778
583,20,33,351,3,2,1,0.0382339991629
584,8,53,3,219,2,2,0.00150300003588
585,562,20,1441,85,10,2,29.5002822876
586,53,53,33,13,8,1,0.254931986332
587,219,85,137,33,2,2,0.17806699872
588,137,562,137,219,6,2,19.0077381134
589,137,53,20,900,6,2,0.934493005276
590,219,351,53,562,2,1,8.97352600098
591,562,219,13,20,8,2,1.38226497173
592,219,219,20,137,6,2,1.2567499876
593,5,219,137,219,4,1,0.416247010231
594,13,137,13,1441,8,2,0.300406008959
595,351,5,900,5,2,2,0.0581570006907
596,3,8,1441,900,2,1,0.305103987455
597,351,13,8,20,10,1,0.0942550003529
598,8,5,13,5,4,2,0.000255999999354
599,20,85,1441,562,8,2,15.5409593582
600,562,351,137,3,2,2,1.17581701279
601,53,53,85,20,6,1,0.42677500844
602,5,20,219,53,2,2,0.00359999993816
603,562,13,351,8,6,1,3.22681999207
604,33,137,13,900,8,1,2.32885909081
605,33,8,20,562,2,1,0.0157169997692
606,85,219,900,219,8,1,198.576644897
607,85,137,20,351,10,2,1.58157098293
608,137,53,3,219,6,1,0.213273003697
609,5,53,85,219,4,2,0.0276740007102
610,33,137,85,3,10,1,1.24046003819
611,85,33,351,900,6,1,22.4752864838
612,33,219,33,5,6,1,0.348565995693
613,137,85,5,53,8,1,0.302224010229
614,53,351,351,5,6,1,9.86166858673
615,219,562,20,8,10,2,2.68849205971
616,562,13,137,3,8,2,0.431077003479
617,562,13,85,33,4,2,0.156614005566
618,137,53,3,85,4,2,0.0164529997855
619,562,137,219,33,8,2,16.9064121246
620,13,33,5,219,2,2,0.00156999996398
621,53,562,53,33,2,1,0.449093997478
622,13,219,351,351,8,2,3.24169993401
623,351,33,137,20,8,2,1.17433404922
624,13,20,20,219,10,2,0.0266229994595
625,20,351,3,562,8,1,0.570118010044
626,85,20,562,1441,8,2,14.7875146866
627,562,85,13,137,2,1,0.649906992912
628,53,53,562,900,6,1,36.3751487732
629,219,351,53,351,8,1,76.4147109985
630,85,20,219,219,6,2,0.665508985519
631,85,562,562,900,8,2,282.516723633
632,562,53,3,5,8,1,0.242431998253
633,33,219,1441,1441,6,2,94.8304443359
634,13,3,3,900,2,1,0.00162500003353
635,85,33,8,5,10,2,0.0193540006876
636,137,351,219,13,4,1,8.56134605408
637,219,219,3,5,2,2,0.00943600013852
638,137,3,13,900,2,1,0.0231120008975
639,8,137,219,13,6,2,0.085762001574
